Const,ItemType,MovieName,MovieYear,MovieDirector,MovieRating,MoviePosterUrl
tt1001508,Movie,"He's Just Not That Into You",2009,Ken Kwapis,10,"https://m.media-amazon.com/images/M/MV5BMTY5MTUyNDgwMF5BMl5BanBnXkFtZTcwNzYzMDQyMg@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt1001526,Movie,"Megamind",2010,Tom McGrath,8,"https://m.media-amazon.com/images/M/MV5BMTAzMzI0NTMzNDBeQTJeQWpwZ15BbWU3MDM3NTAyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt1013752,Movie,"Fast & Furious (Fast and the Furious 4, The)",2009,Justin Lin,10,"https://m.media-amazon.com/images/M/MV5BYjQ1ZTMxNzgtZDcxOC00NWY5LTk3ZjAtYzRhMDhlNDZlOWEzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt1055369,Movie,"Transformers: Revenge of the Fallen",2009,Michael Bay,9,"https://m.media-amazon.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0110413,Movie,"Léon: The Professional (a.k.a. The Professional) (Léon)",1994,Luc Besson,10,"https://m.media-amazon.com/images/M/MV5BZDAwYTlhMDEtNTg0OS00NDY2LWJjOWItNWY3YTZkM2UxYzUzXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY268_CR4,0,182,268_AL_.jpg"
tt0114369,Movie,"Seven (a.k.a. Se7en)",1995,David Fincher,10,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0120338,Movie,"Titanic",1997,James Cameron,7,"https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt1216475,Movie,"Cars 2",2011,"Brad Lewis, John Lasseter",8,"https://m.media-amazon.com/images/M/MV5BMTUzNTc3MTU3M15BMl5BanBnXkFtZTcwMzIxNTc3NA@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt1228705,Movie,"Iron Man 2",2010,Jon Favreau,10,"https://m.media-amazon.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt1277953,Movie,"Madagascar 3: Europe's Most Wanted",2012,"Conrad Vernon, Tom McGrath, Eric Darnell",9,"https://m.media-amazon.com/images/M/MV5BMTM2MTIzNzk2MF5BMl5BanBnXkFtZTcwMDcwMzQxNw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
